L            	HA	LA	CO	BA	FR	GM	BM
evocation primitive	0,000	0,000	6,524	0,000	0,000	0,000	0,000	
evoke memory 	0,000	0,000	0,000	3,752	0,000	0,000	0,000	
excellent study	0,000	0,000	0,000	3,813	0,000	0,000	0,000	
explosion color	0,000	0,000	0,000	4,349	0,000	0,000	0,000	
express feel 	0,000	0,000	6,524	0,000	0,000	0,000	0,000	
express passion	0,000	0,000	3,887	0,000	0,000	0,000	0,000	
fairy tale   	0,000	0,000	0,000	8,422	0,000	0,000	0,000	
fall love    	0,000	0,000	8,072	0,000	0,000	0,000	0,000	
family learn 	0,000	0,000	0,000	5,282	0,000	0,000	0,000	
family love  	0,000	0,000	0,000	2,558	0,000	0,000	0,000	
family movie 	0,000	0,000	0,000	2,339	0,000	0,000	0,000	
fantasy comedy	0,000	0,000	0,000	0,000	0,000	6,177	0,000	
fantasy reality	0,000	0,000	0,000	5,170	0,000	5,170	0,000	
fast pace    	0,000	2,876	0,000	0,000	0,000	0,000	0,000	
favorite cartoon	0,000	0,000	0,000	3,701	0,000	0,000	0,000	
fear be      	0,000	0,000	0,000	0,000	0,000	0,000	2,811	
feel alive   	0,000	0,000	0,000	0,000	0,000	5,138	0,000	
feel bad     	0,000	0,000	0,000	0,000	0,000	0,000	10,563	
feel connection	0,000	0,000	5,484	0,000	0,000	0,000	0,000	
feel emotion 	4,632	0,000	9,264	0,000	0,000	0,000	0,000	
feel frustration	0,000	0,000	0,000	0,000	0,000	0,000	6,177	
feel good    	0,000	0,000	1,764	0,000	0,000	9,409	0,000	
feel guilty  	0,000	0,000	0,000	0,000	0,000	0,000	5,719	
feel lonely  	0,000	0,000	0,000	0,000	0,000	0,000	6,524	
feel pain    	0,000	0,000	0,000	0,000	0,000	0,000	9,059	
feel passion 	0,000	0,000	3,582	0,000	0,000	0,000	0,000	
feel thing   	0,000	0,000	7,626	0,000	0,000	0,000	0,000	
feel touch   	0,000	0,000	5,138	0,000	0,000	0,000	0,000	
feel true    	0,000	0,000	0,000	3,582	0,000	0,000	0,000	
fight be     	0,000	0,000	0,000	0,000	0,000	0,000	3,566	
fight blood  	0,000	0,000	0,000	0,000	0,000	0,000	4,118	
fight fear   	0,000	0,000	0,000	0,000	0,000	0,000	6,177	
fight scene  	0,000	0,000	0,000	0,000	0,000	0,000	5,581	
film clear   	0,000	6,177	0,000	0,000	0,000	0,000	0,000	
film dream   	0,000	0,000	0,000	10,563	0,000	0,000	0,000	
film slow    	5,002	0,000	0,000	0,000	0,000	0,000	0,000	
find solution	6,673	0,000	0,000	0,000	0,000	0,000	0,000	
first kiss   	0,000	0,000	2,641	0,000	0,000	0,000	0,000	
first love   	0,000	0,000	7,842	0,000	0,000	0,000	0,000	
first meet   	0,000	0,000	7,626	0,000	0,000	0,000	0,000	
flash humor  	0,000	0,000	0,000	0,000	6,177	4,118	0,000	
focus attention	10,650	0,000	0,000	0,000	0,000	0,000	0,000	
focus story  	8,158	0,000	0,000	0,000	0,000	0,000	0,000	
focus viewer 	4,118	0,000	0,000	0,000	0,000	0,000	0,000	
friend movie 	0,000	0,000	0,000	0,000	4,979	0,000	0,000	
full attention	3,263	0,000	0,000	0,000	0,000	0,000	0,000	
full color   	0,000	0,000	0,000	3,368	0,000	0,000	0,000	
full emotion 	0,000	0,000	3,405	0,000	0,000	0,000	0,000	
full love    	0,000	0,000	5,026	0,000	0,000	0,000	0,000	
fun entertaining	0,000	0,000	0,000	0,000	4,548	0,000	0,000	
fun movie    	0,000	0,000	0,000	0,000	2,256	0,000	0,000	
fun sweet    	0,000	0,000	3,617	0,000	3,617	0,000	0,000	
funny act    	0,000	3,550	0,000	0,000	0,000	0,000	0,000	
funny awkward	0,000	0,000	0,000	0,000	3,813	3,813	0,000	
funny comedian	0,000	0,000	0,000	0,000	0,000	5,831	0,000	
funny movie  	0,000	0,000	0,000	0,000	0,000	0,000	0,000	
get enough   	0,000	0,000	3,887	0,000	0,000	0,000	0,000	
gift life    	0,000	0,000	0,000	3,701	0,000	0,000	0,000	
give advice  	0,000	0,000	0,000	0,000	5,975	0,000	0,000	
give birth   	0,000	0,000	0,000	3,239	0,000	0,000	0,000	
