FILM         	HA	LA	CO	BA	FR	GM	BM
The In-Laws  	0,1026	0,2488	0,1420	0,1404	0,2959	0,3646	0,0000	
The Libertine	0,2195	0,2604	0,3157	0,0808	0,1977	0,2581	0,1470	
Babel        	0,3976	0,3206	0,3122	0,1508	0,2402	0,2890	0,1830	
300          	0,3367	0,3946	0,2959	0,2435	0,3416	0,4446	0,4372	
Blood Diamond	0,3105	0,2754	0,2546	0,2256	0,1748	0,3307	0,2770	
Alpha Dog    	0,2000	0,1492	0,0618	0,0873	0,2074	0,1982	0,1835	
We Are Marshall	0,1565	0,0868	0,1982	0,1304	0,1486	0,3018	0,1225	
Apocalypto   	0,3196	0,3928	0,2798	0,2416	0,2179	0,3778	0,2852	
Stranger than Fiction	0,2440	0,3544	0,3859	0,1826	0,3249	0,3982	0,2889	
Saw          	0,2663	0,3648	0,1987	0,1746	0,2440	0,3196	0,3774	
Match Point  	0,2270	0,2639	0,3394	0,1723	0,1951	0,2929	0,1396	
The Machinist	0,2629	0,2996	0,2655	0,1204	0,1910	0,2528	0,4183	
The Last Samurai	0,5226	0,3185	0,3611	0,2338	0,3017	0,3753	0,3046	
Once Upon a Time in Mexico	0,1651	0,2200	0,2271	0,1198	0,2684	0,2993	0,2001	
8 Mile       	0,1950	0,3241	0,1876	0,1846	0,2914	0,3952	0,2275	
Enemy at the Gates	0,2210	0,1892	0,3948	0,1955	0,1729	0,3476	0,2476	
Kingdom of Heaven	0,2703	0,3523	0,3672	0,2231	0,2759	0,3409	0,2753	
Hitch        	0,1674	0,3224	0,4126	0,1652	0,3983	0,5167	0,1502	
Harry Potter and the Chamber of Secrets	0,3158	0,3488	0,3229	0,2934	0,3976	0,4519	0,1927	
The Pledge   	0,2372	0,2851	0,2074	0,0910	0,1641	0,2729	0,2071	
American Psycho	0,2682	0,3118	0,2643	0,1985	0,3471	0,3820	0,3846	
Unbreakable  	0,2956	0,2822	0,3202	0,2727	0,2076	0,3650	0,2980	
Any Given Sunday	0,2087	0,3000	0,1797	0,1723	0,2357	0,2722	0,1708	
Sleepy Hollow	0,2467	0,3471	0,3783	0,2833	0,3149	0,4209	0,2948	
Vanilla Sky  	0,3638	0,3003	0,4126	0,2046	0,2923	0,3526	0,2676	
Miss Congeniality	0,1652	0,3709	0,3292	0,1908	0,4209	0,5189	0,1590	
