FILM         	HA	LA	CO	BA	FR	GM	BM
The Color Purple	0,0415	0,0175	0,0829	0,0386	0,0622	0,0375	0,0466	
Misery       	0,0455	0,0216	0,0568	0,0298	0,0470	0,0448	0,0507	
Bullitt      	0,0466	0,0192	0,0435	0,0314	0,0434	0,0359	0,0436	
Walk the Line	0,0480	0,0206	0,1033	0,0426	0,0729	0,0418	0,0481	
Empire of the Sun	0,0458	0,0183	0,0643	0,0470	0,0583	0,0337	0,0668	
V for Vendetta	0,0694	0,0294	0,0668	0,0463	0,0650	0,0456	0,0638	
In America   	0,0502	0,0173	0,0937	0,0592	0,0787	0,0410	0,0697	
Forbidden Planet	0,0561	0,0264	0,0489	0,1005	0,0489	0,0515	0,0375	
The Hours    	0,0657	0,0227	0,0813	0,0354	0,0701	0,0353	0,0504	
Donnie Brasco	0,0445	0,0154	0,0465	0,0261	0,0527	0,0300	0,0428	
The City of Lost Children	0,0557	0,0251	0,0520	0,0619	0,0505	0,0399	0,0435	
Minority Report	0,0788	0,0268	0,0474	0,0489	0,0532	0,0441	0,0551	
Big Fish     	0,0483	0,0272	0,0888	0,1080	0,0716	0,0673	0,0434	
Spider-Man 2 	0,0507	0,0275	0,0708	0,0518	0,0695	0,0517	0,0582	
The Squid and the Whale	0,0467	0,0272	0,0696	0,0419	0,0621	0,0507	0,0475	
Five Easy Pieces	0,0587	0,0205	0,0558	0,0303	0,0550	0,0380	0,0414	
Forbidden Games	0,0412	0,0194	0,0555	0,0346	0,0546	0,0310	0,0527	
Cinderella Man	0,0476	0,0190	0,0793	0,0549	0,0702	0,0393	0,0704	
To Catch a Thief	0,0479	0,0311	0,0702	0,0439	0,0436	0,0681	0,0317	
Bad Education	0,0756	0,0208	0,0668	0,0366	0,0517	0,0367	0,0423	
Half Nelson  	0,0525	0,0184	0,0582	0,0365	0,0772	0,0298	0,0499	
Pierrot le Fou	0,0390	0,0217	0,0492	0,0373	0,0423	0,0418	0,0319	
A Man for All Seasons	0,0526	0,0181	0,0572	0,0354	0,0662	0,0296	0,0488	
Marty        	0,0382	0,0261	0,1011	0,0425	0,0640	0,0464	0,0359	
Walkabout    	0,0538	0,0195	0,0578	0,0411	0,0565	0,0327	0,0478	
Brick        	0,0708	0,0238	0,0446	0,0405	0,0537	0,0490	0,0459	
Billy Elliot 	0,0451	0,0223	0,0847	0,0674	0,0755	0,0586	0,0510	
Jackie Brown 	0,0518	0,0291	0,0572	0,0322	0,0485	0,0515	0,0446	
25th Hour    	0,0493	0,0247	0,0599	0,0292	0,0713	0,0294	0,0467	
Road to Perdition	0,0540	0,0292	0,0630	0,0445	0,0589	0,0343	0,0581	
High Plains Drifter	0,0490	0,0177	0,0394	0,0295	0,0403	0,0379	0,0522	
Fiddler on the Roof	0,0388	0,0243	0,0786	0,0800	0,0592	0,0666	0,0367	
Ray          	0,0495	0,0180	0,0733	0,0371	0,0682	0,0371	0,0495	
The Day of the Jackal	0,0613	0,0241	0,0365	0,0309	0,0412	0,0321	0,0448	
Cast Away    	0,0517	0,0272	0,0729	0,0420	0,0711	0,0462	0,0574	
The Crow     	0,0407	0,0260	0,0773	0,0382	0,0538	0,0418	0,0716	
As Good as It Gets	0,0423	0,0281	0,0784	0,0387	0,0732	0,0790	0,0367	
The Tenant   	0,0531	0,0184	0,0381	0,0239	0,0484	0,0313	0,0458	
Pi           	0,0723	0,0238	0,0488	0,0406	0,0535	0,0346	0,0491	
Titanic      	0,0530	0,0228	0,1148	0,0465	0,0603	0,0457	0,0512	
The Aviator  	0,0582	0,0215	0,0606	0,0379	0,0568	0,0360	0,0465	
Collateral   	0,0663	0,0288	0,0491	0,0314	0,0558	0,0484	0,0554	
Chicago      	0,0400	0,0266	0,0540	0,0461	0,0550	0,0776	0,0402	
Hoosiers     	0,0355	0,0137	0,0629	0,0510	0,0531	0,0397	0,0416	
Mulan        	0,0370	0,0278	0,0705	0,1119	0,0674	0,0707	0,0492	
Sin City     	0,0539	0,0290	0,0597	0,0510	0,0576	0,0522	0,0684	
Tombstone    	0,0408	0,0197	0,0479	0,0309	0,0515	0,0476	0,0393	
Videodrome   	0,0479	0,0173	0,0380	0,0322	0,0468	0,0282	0,0455	
Mildred Pierce	0,0506	0,0155	0,0526	0,0288	0,0563	0,0333	0,0373	
Inside Man   	0,0811	0,0244	0,0420	0,0305	0,0503	0,0465	0,0410	
Bloody Sunday	0,0422	0,0141	0,0523	0,0226	0,0455	0,0201	0,0637	
Predator     	0,0478	0,0256	0,0435	0,0467	0,0491	0,0484	0,0561	
Garden State 	0,0495	0,0336	0,0890	0,0452	0,0748	0,0672	0,0417	
In the Bedroom	0,0597	0,0198	0,0840	0,0336	0,0638	0,0283	0,0735	
21 Grams     	0,0680	0,0267	0,0693	0,0318	0,0576	0,0307	0,0616	
Drugstore Cowboy	0,0339	0,0140	0,0334	0,0256	0,0482	0,0363	0,0269	
Far from Heaven	0,0597	0,0224	0,0883	0,0407	0,0775	0,0361	0,0472	
Angels with Dirty Faces	0,0381	0,0128	0,0435	0,0382	0,0586	0,0323	0,0369	
Elizabeth    	0,0574	0,0215	0,0714	0,0381	0,0580	0,0361	0,0505	
Dark City    	0,0709	0,0221	0,0471	0,0572	0,0542	0,0357	0,0515	
Dumbo        	0,0314	0,0209	0,0742	0,1088	0,0663	0,0523	0,0383	
Gilda        	0,0384	0,0159	0,0792	0,0298	0,0494	0,0415	0,0358	
Batman       	0,0433	0,0252	0,0480	0,0427	0,0545	0,0533	0,0547	
King Kong    	0,0579	0,0291	0,0886	0,0587	0,0686	0,0539	0,0599	
Metropolis   	0,0482	0,0220	0,0518	0,0688	0,0470	0,0346	0,0371	
Independence Day	0,0395	0,0343	0,0506	0,0596	0,0527	0,0869	0,0443	
Wall Street  	0,0460	0,0195	0,0460	0,0314	0,0621	0,0395	0,0433	
Armageddon   	0,0432	0,0390	0,0632	0,0430	0,0548	0,0807	0,0431	
The Manchurian Candidate	0,0662	0,0229	0,0422	0,0319	0,0535	0,0320	0,0562	
The Ring     	0,0671	0,0319	0,0479	0,0427	0,0537	0,0463	0,0959	
Dead Birds   	0,0384	0,0207	0,0392	0,0278	0,0408	0,0293	0,0622	
The Producers	0,0311	0,0384	0,0426	0,0389	0,0523	0,1025	0,0294	
Sky High     	0,0302	0,0338	0,0497	0,1279	0,0628	0,1083	0,0333	
Heaven Can Wait	0,0299	0,0292	0,0632	0,0395	0,0485	0,0806	0,0261	
Spider-Man   	0,0475	0,0340	0,0662	0,0598	0,0670	0,0655	0,0522	
The Patriot  	0,0495	0,0288	0,0633	0,0477	0,0591	0,0482	0,1067	
Private Benjamin	0,0240	0,0342	0,0469	0,0377	0,0482	0,0844	0,0422	
The Little Mermaid	0,0293	0,0221	0,0960	0,1408	0,0515	0,0633	0,0297	
Gentlemen Prefer Blondes	0,0314	0,0245	0,0666	0,0428	0,1205	0,0835	0,0291	
Escape to Witch Mountain	0,0193	0,0122	0,0402	0,1059	0,0292	0,0571	0,0172	
The Mummy    	0,0271	0,0271	0,0379	0,0337	0,0403	0,0501	0,0321	
Tomcats      	0,0179	0,0320	0,0536	0,0356	0,0437	0,0661	0,0230	
Underworld   	0,0569	0,0270	0,0596	0,0433	0,0498	0,0553	0,0573	
Cheaper by the Dozen	0,0260	0,0457	0,0558	0,1298	0,0598	0,1154	0,0318	
Impromptu    	0,0401	0,0277	0,0829	0,0316	0,0504	0,0741	0,0293	
Thirteen     	0,0474	0,0196	0,0763	0,0453	0,0703	0,0356	0,0631	
Hardcore     	0,0426	0,0200	0,0442	0,0259	0,0459	0,0389	0,0389	
Home on the Range	0,0279	0,0277	0,0572	0,1258	0,0446	0,0720	0,0239	
Big Daddy    	0,0322	0,0425	0,0655	0,0579	0,0571	0,1210	0,0254	
Sylvia       	0,0468	0,0164	0,0733	0,0314	0,0583	0,0282	0,0460	
Rush Hour    	0,0277	0,0487	0,0444	0,0469	0,0541	0,1122	0,0307	
Man on Fire  	0,0505	0,0224	0,0736	0,0367	0,0636	0,0396	0,0729	
War of the Worlds	0,0543	0,0268	0,0533	0,0558	0,0609	0,0467	0,0722	
Cabin Fever  	0,0436	0,0353	0,0408	0,0357	0,0597	0,0841	0,0653	
The One      	0,0454	0,0191	0,0390	0,0347	0,0468	0,0415	0,0668	
Dirty Work   	0,0159	0,0357	0,0310	0,0355	0,0625	0,0989	0,0245	
Jersey Girl  	0,0326	0,0314	0,0854	0,0610	0,0560	0,0778	0,0284	
Walking Tall 	0,0334	0,0248	0,0414	0,0325	0,0536	0,0598	0,0465	
Moulin Rouge 	0,0305	0,0146	0,0472	0,0298	0,0352	0,0233	0,0253	
Fantasia 2000	0,0362	0,0242	0,0483	0,0836	0,0443	0,0467	0,0430	
Tuck Everlasting	0,0381	0,0204	0,0907	0,0704	0,0467	0,0490	0,0327	
Oliver Twist 	0,0719	0,0138	0,0503	0,0400	0,0515	0,0363	0,0453	
The Shaggy Dog	0,0190	0,0454	0,0297	0,0979	0,0433	0,1030	0,0239	
Wolf         	0,0424	0,0261	0,0572	0,0350	0,0440	0,0395	0,0355	
Alone in the Dark	0,0316	0,0275	0,0370	0,0309	0,0406	0,0621	0,0477	
Behind Enemy Lines	0,0430	0,0241	0,0409	0,0331	0,0441	0,0505	0,0842	
The Apartment	0,0504	0,0145	0,0708	0,0211	0,0402	0,0313	0,0249	
The Village  	0,0857	0,0281	0,0796	0,0464	0,0576	0,0447	0,0647	
Peter Pan    	0,0417	0,0200	0,0801	0,1074	0,0518	0,0581	0,0420	
The In-Laws  	0,0231	0,0452	0,0461	0,0368	0,0477	0,1180	0,0190	
The Libertine	0,0501	0,0188	0,0616	0,0295	0,0554	0,0329	0,0451	
Babel        	0,0721	0,0254	0,0741	0,0377	0,0668	0,0381	0,0547	
300          	0,0531	0,0308	0,0622	0,0549	0,0609	0,0526	0,0952	
Blood Diamond	0,0587	0,0220	0,0681	0,0382	0,0623	0,0373	0,0863	
Alpha Dog    	0,0422	0,0158	0,0419	0,0283	0,0503	0,0311	0,0431	
We Are Marshall	0,0369	0,0160	0,0727	0,0426	0,0608	0,0359	0,0603	
Apocalypto   	0,0645	0,0287	0,0694	0,0456	0,0622	0,0426	0,0806	
Stranger than Fiction	0,0615	0,0319	0,0739	0,0441	0,0720	0,0813	0,0430	
Saw          	0,0798	0,0256	0,0437	0,0331	0,0502	0,0415	0,0719	
Match Point  	0,0681	0,0212	0,0834	0,0359	0,0602	0,0396	0,0459	
The Machinist	0,0785	0,0230	0,0537	0,0307	0,0508	0,0333	0,0596	
The Last Samurai	0,0583	0,0226	0,0703	0,0411	0,0754	0,0414	0,0842	
Once Upon a Time in Mexico	0,0408	0,0239	0,0393	0,0307	0,0424	0,0672	0,0434	
8 Mile       	0,0420	0,0246	0,0614	0,0336	0,0764	0,0489	0,0560	
Enemy at the Gates	0,0521	0,0190	0,0689	0,0345	0,0547	0,0319	0,1534	
Kingdom of Heaven	0,0616	0,0252	0,0596	0,0404	0,0641	0,0399	0,0641	
Hitch        	0,0363	0,0444	0,1070	0,0461	0,0768	0,1174	0,0323	
Harry Potter and the Chamber of Secrets	0,0484	0,0277	0,0520	0,0787	0,0580	0,0718	0,0425	
The Pledge   	0,0645	0,0216	0,0530	0,0287	0,0519	0,0287	0,0495	
American Psycho	0,0554	0,0339	0,0521	0,0350	0,0581	0,0755	0,0620	
Unbreakable  	0,0739	0,0302	0,0600	0,0493	0,0630	0,0431	0,0557	
Any Given Sunday	0,0437	0,0236	0,0491	0,0313	0,0525	0,0428	0,0443	
Sleepy Hollow	0,0554	0,0321	0,0534	0,0574	0,0521	0,0626	0,0688	
Vanilla Sky  	0,0813	0,0242	0,0746	0,0415	0,0702	0,0459	0,0425	
Miss Congeniality	0,0316	0,0649	0,0650	0,0576	0,0677	0,1736	0,0309	
