FILM                    	HA	LA	CO	BA	FR	GM	BM
The Last Samurai        	0.3851	0.3548	0.3725	0.2619	0.3337	0.3724	0.3163	
Once Upon a Time in Mexico	0.2279	0.2110	0.1938	0.2219	0.1888	0.4035	0.2869	
8 Mile                  	0.2551	0.2742	0.2592	0.2753	0.3651	0.3651	0.2751	
Enemy at the Gates      	0.3080	0.2773	0.2827	0.2151	0.2384	0.2916	0.2984	
Kingdom of Heaven       	0.3331	0.3110	0.2915	0.2557	0.2986	0.3688	0.3291	
Hitch                   	0.2133	0.2919	0.5574	0.2939	0.2796	0.4941	0.1803	
Harry Potter and the Chamber of Secrets	0.2914	0.2495	0.2075	0.4081	0.2888	0.4813	0.2410	
The Pledge              	0.2961	0.2751	0.2702	0.1805	0.2215	0.2975	0.2398	
American Psycho         	0.3278	0.2610	0.2625	0.2441	0.2481	0.4455	0.3479	
Unbreakable             	0.3167	0.3193	0.3074	0.3373	0.2547	0.3789	0.2581	
Any Given Sunday        	0.2713	0.2641	0.2651	0.2127	0.2322	0.3425	0.2525	
Sleepy Hollow           	0.2754	0.2770	0.2768	0.3545	0.2308	0.4530	0.2663	
Vanilla Sky             	0.3416	0.3032	0.3257	0.3039	0.3108	0.3596	0.2390	
Miss Congeniality       	0.2192	0.3387	0.2847	0.3247	0.2389	0.6736	0.2284	
