L              	HA	LA	CO	BA	FR	GM	BM
sorrow         	0.000	0.000	0.000	0.000	0.000	0.000	5.475	
celebrate      	0.000	0.000	6.629	0.000	0.000	2.651	0.000	
loss           	0.000	0.000	0.000	0.000	0.000	0.000	4.393	
illusion       	0.000	0.000	0.000	4.335	0.000	0.000	0.000	
captivating    	2.285	0.000	0.000	0.000	0.000	0.000	0.000	
uplift         	0.000	0.000	0.000	0.000	4.943	0.000	0.000	
depth          	6.515	0.000	0.000	0.000	0.000	0.000	0.000	
affinity       	0.000	0.000	3.550	0.000	0.000	0.000	0.000	
lovable        	0.000	0.000	0.000	1.972	0.000	0.000	0.000	
kitten         	0.000	0.000	0.000	2.713	0.000	0.000	0.000	
immediate      	0.000	9.862	0.000	0.000	0.000	0.000	0.000	
appreciate     	0.000	0.000	0.000	0.000	0.000	3.263	0.000	
immersion      	5.282	0.000	0.000	0.000	0.000	0.000	0.000	
treasure       	0.000	0.000	0.000	2.464	0.000	0.000	0.000	
dirty          	0.000	0.000	0.000	0.000	0.000	0.000	4.804	
harrowing      	0.000	0.000	0.000	0.000	0.000	0.000	2.717	
confidence     	0.000	0.000	0.000	0.000	5.026	0.000	0.000	
desperate      	0.000	0.000	0.000	0.000	0.000	0.000	2.780	
affectionate   	0.000	0.000	3.103	3.103	0.000	0.000	0.000	
provoke        	1.297	0.000	0.000	0.000	0.000	0.000	4.323	
fantasy        	0.000	0.000	0.000	3.740	0.000	5.343	0.000	
careful        	1.710	0.000	0.000	0.000	0.000	0.000	0.000	
chill          	0.000	3.386	0.000	0.000	0.000	0.000	0.000	
marvelous      	0.000	0.000	0.000	2.184	0.000	0.000	0.000	
erudite        	3.582	0.000	0.000	0.000	0.000	0.000	0.000	
mean           	6.251	0.000	0.000	0.000	0.000	0.000	2.841	
intensify      	2.429	0.000	0.000	0.000	0.000	0.000	0.000	
rest           	0.000	4.100	0.000	0.000	0.000	0.000	0.000	
success        	0.000	0.000	0.000	0.000	0.000	1.483	0.000	
disturbing     	0.000	0.000	0.000	0.000	0.000	0.000	4.530	
sharpen        	2.663	0.000	0.000	0.000	0.000	0.000	0.000	
outrage        	0.000	0.000	0.000	0.000	0.000	0.000	7.110	
anguish        	0.000	0.000	0.000	0.000	0.000	0.000	2.279	
fable          	0.000	0.000	0.000	6.614	0.000	0.000	0.000	
cruelty        	0.000	0.000	0.000	0.000	0.000	0.000	10.125	
easy           	0.000	2.487	0.000	0.000	0.000	0.000	0.000	
suspense       	1.332	0.000	0.000	0.000	0.000	0.000	0.000	
drama          	0.000	0.000	1.049	0.000	0.000	0.000	0.000	
historical     	3.003	0.000	0.000	0.000	0.000	0.000	0.000	
admiration     	0.000	0.000	0.000	0.000	4.833	0.000	0.000	
theatrical     	1.695	0.000	0.000	0.000	0.000	0.000	0.000	
cheater        	0.000	0.000	0.000	0.000	0.000	0.000	2.814	
guide          	0.000	0.000	0.000	0.000	2.028	0.000	0.000	
thrilling      	1.662	0.000	0.000	0.000	0.000	0.000	2.215	
shine          	0.000	0.000	0.000	0.000	0.000	3.391	0.000	
tough          	0.000	0.000	0.000	0.000	0.000	0.000	5.591	
hatred         	0.000	0.000	0.000	0.000	0.000	0.000	4.280	
pair           	0.000	0.000	2.521	0.000	0.000	0.000	0.000	
color          	0.000	0.000	0.000	1.393	0.000	0.000	0.000	
glue           	1.832	0.000	0.000	0.000	0.000	0.000	0.000	
ironic         	0.000	0.000	0.000	0.000	0.000	8.977	0.000	
infatuation    	0.000	0.000	5.052	0.000	0.000	0.000	0.000	
predictable    	0.000	6.426	0.000	0.000	0.000	0.000	0.000	
night          	0.000	1.436	0.000	0.000	0.000	0.000	0.000	
fast           	0.000	6.487	0.000	0.000	0.000	0.000	0.000	
adventure      	0.000	0.000	0.000	4.935	0.000	0.000	0.000	
tire           	0.000	3.930	0.000	0.000	0.000	0.000	0.000	
win            	0.000	0.000	0.000	0.000	0.000	2.065	0.000	
assist         	0.000	0.000	0.000	0.000	8.785	0.000	0.000	
glamorous      	0.000	0.000	2.963	0.000	0.000	0.000	0.000	
fascination    	0.000	0.000	2.737	0.000	0.000	0.000	0.000	
delicious      	0.000	0.000	0.000	2.688	0.000	0.000	0.000	
simple         	0.000	11.791	0.000	0.000	0.000	0.000	0.000	
cute           	0.000	0.000	5.308	8.493	0.000	0.000	0.000	
holiday        	0.000	0.000	0.000	2.422	0.000	0.000	0.000	
animation      	0.000	0.000	0.000	3.804	0.000	0.000	0.000	
enigma         	5.647	0.000	0.000	0.000	0.000	0.000	0.000	
unity          	0.000	0.000	0.000	0.000	3.146	0.000	0.000	
compelling     	1.468	0.000	0.000	0.000	0.000	0.000	0.000	
intimacy       	0.000	0.000	5.794	0.000	0.000	0.000	0.000	
call           	0.000	0.000	0.000	0.000	1.414	0.000	0.000	
thief          	0.000	0.000	0.000	0.000	0.000	0.000	5.921	
betrayal       	0.000	0.000	0.000	0.000	0.000	0.000	2.078	
indignation    	0.000	0.000	0.000	0.000	0.000	0.000	5.831	
evoke          	0.000	0.000	2.495	0.000	0.000	0.000	0.000	
entertaining   	0.000	3.909	0.000	0.000	2.737	0.000	0.000	
satirical      	2.160	0.000	0.000	0.000	0.000	0.000	0.000	
smile          	0.000	0.000	0.000	5.997	0.000	3.271	0.000	
sex            	0.000	0.000	2.260	0.000	0.000	0.000	0.000	
magnetism      	0.000	0.000	3.550	0.000	0.000	0.000	0.000	
emotional      	0.000	0.000	9.136	0.000	0.000	0.000	0.000	
concerned      	0.000	0.000	0.000	0.000	2.722	0.000	0.000	
parallel       	1.935	0.000	0.000	0.000	0.000	0.000	0.000	
nightmare      	0.000	0.000	0.000	0.000	0.000	0.000	2.774	
belief         	0.000	0.000	0.000	0.000	2.459	0.000	0.000	
sincere        	0.000	0.000	0.000	0.000	8.326	2.686	0.000	
metaphor       	1.540	0.000	0.000	0.000	0.000	0.000	0.000	
refine         	3.263	0.000	0.000	0.000	0.000	0.000	0.000	
consequence    	2.724	0.000	0.000	0.000	0.000	0.000	0.000	
intense        	3.995	0.000	0.000	0.000	0.000	0.000	0.000	
animated       	0.000	0.000	0.000	4.998	0.000	0.000	0.000	
enchant        	0.000	0.000	0.000	7.079	0.000	0.000	0.000	
evolve         	2.583	0.000	0.000	0.000	0.000	0.000	0.000	
beloved        	0.000	0.000	3.622	0.000	0.000	0.000	0.000	
cruel          	0.000	0.000	0.000	0.000	0.000	0.000	10.493	
war            	0.000	0.000	0.000	0.000	0.000	0.000	3.590	
struggle       	0.000	0.000	0.000	0.000	0.000	0.000	5.120	
lovemaking     	0.000	0.000	3.887	0.000	0.000	0.000	0.000	
closeness      	0.000	0.000	0.000	0.000	3.319	0.000	0.000	
allegory       	5.085	0.000	0.000	0.000	0.000	0.000	0.000	
laughter       	0.000	0.000	0.000	0.000	0.000	3.656	0.000	
real           	1.049	0.000	1.398	0.000	1.887	0.000	0.000	
advice         	0.000	0.000	0.000	0.000	1.654	0.000	0.000	
deceit         	0.000	0.000	0.000	0.000	0.000	0.000	3.239	
sleep          	0.000	3.930	0.000	0.000	0.000	0.000	0.000	
intuitive      	0.000	8.617	0.000	0.000	0.000	0.000	0.000	
cherish        	0.000	0.000	3.999	0.000	0.000	0.000	0.000	
lunatic        	0.000	0.000	0.000	0.000	0.000	0.000	4.761	
detail         	3.538	0.000	0.000	0.000	0.000	0.000	0.000	
respect        	0.000	0.000	0.000	0.000	3.951	0.000	0.000	
genius         	1.133	0.000	0.000	0.000	0.000	0.000	0.000	
inspirational  	4.429	0.000	0.000	0.000	0.000	0.000	0.000	
liar           	0.000	0.000	0.000	0.000	0.000	0.000	2.489	
exacerbate     	0.000	0.000	0.000	0.000	0.000	0.000	3.887	
family         	0.000	0.000	0.000	2.837	0.000	0.000	0.000	
unreal         	0.000	0.000	0.000	2.289	0.000	0.000	0.000	
villain        	0.000	0.000	0.000	0.000	0.000	0.000	2.095	
annoyance      	0.000	0.000	0.000	0.000	0.000	0.000	5.325	
