L            	HA	LA	CO	BA	FR	GM	BM
be student   	0,000	0,000	0,000	3,368	0,000	0,000	0,000	
be success   	0,000	0,000	0,000	0,000	0,000	2,861	0,000	
be superhero 	0,000	0,000	0,000	2,824	0,000	0,000	0,000	
be support   	0,000	0,000	0,000	0,000	4,053	0,000	0,000	
be sweet     	0,000	0,000	2,410	1,808	0,000	9,039	0,000	
be tale      	0,000	0,000	0,000	5,670	0,000	0,000	0,000	
be teen      	0,000	0,000	0,000	0,000	9,870	6,580	0,000	
be teenager  	0,000	0,000	0,000	1,772	0,000	0,000	0,000	
be tender    	0,000	7,665	0,000	5,365	0,000	7,665	0,000	
be terrible  	0,000	0,000	0,000	0,000	0,000	0,000	3,128	
be thief     	0,000	0,000	0,000	0,000	0,000	0,000	10,851	
be thrilling 	0,000	0,000	0,000	0,000	0,000	0,000	2,618	
be tire      	0,000	4,840	0,000	0,000	0,000	0,000	0,000	
be touch     	0,000	0,000	4,831	0,000	2,415	0,000	0,000	
be tough     	0,000	0,000	0,000	0,000	0,000	0,000	3,945	
be toy       	0,000	0,000	0,000	3,251	0,000	0,000	0,000	
be triumph   	0,000	0,000	0,000	0,000	0,000	2,846	0,000	
be trust     	0,000	0,000	2,489	0,000	8,298	0,000	0,000	
be unpredictable	11,938	0,000	0,000	0,000	0,000	0,000	0,000	
be victim    	0,000	0,000	0,000	0,000	0,000	0,000	3,470	
be villain   	0,000	0,000	0,000	0,000	0,000	0,000	4,667	
be violence  	0,000	0,000	0,000	0,000	0,000	0,000	8,261	
be violent   	0,000	0,000	0,000	0,000	0,000	0,000	11,014	
be war       	0,000	0,000	0,000	0,000	0,000	0,000	8,594	
be wife      	0,000	0,000	2,996	0,000	0,000	0,000	0,000	
be win       	0,000	0,000	0,000	0,000	0,000	2,662	0,000	
be witty     	0,000	0,000	0,000	0,000	0,000	5,163	0,000	
be young     	0,000	0,000	0,000	7,579	0,000	0,000	0,000	
be youth     	0,000	0,000	0,000	2,776	0,000	0,000	0,000	
beautiful adventure	0,000	0,000	0,000	6,524	0,000	0,000	0,000	
beautiful animated	0,000	0,000	0,000	6,177	0,000	0,000	0,000	
beautiful couple	0,000	0,000	5,975	0,000	0,000	0,000	0,000	
beautiful effective	0,000	0,000	0,000	0,000	0,000	0,000	5,975	
beautiful evocative	0,000	0,000	6,177	0,000	0,000	0,000	0,000	
beautiful funny	0,000	0,000	0,000	0,000	5,002	0,000	0,000	
beautiful landscape	0,000	10,215	0,000	0,000	0,000	0,000	0,000	
beautiful location	0,000	9,957	0,000	0,000	0,000	0,000	0,000	
beautiful princess	0,000	0,000	0,000	5,242	0,000	0,000	0,000	
beautiful sentimental	0,000	0,000	6,524	0,000	0,000	0,000	0,000	
beauty       	0,000	0,000	1,867	0,000	0,000	0,000	0,000	
beauty nature	0,000	10,969	0,000	0,000	0,000	0,000	0,000	
bed          	0,000	7,669	0,000	0,000	0,000	0,000	0,000	
bedtime      	0,000	7,338	0,000	0,000	0,000	0,000	0,000	
belief       	0,000	0,000	0,000	0,000	2,459	0,000	0,000	
believable romance	0,000	0,000	5,975	0,000	0,000	0,000	0,000	
beloved      	0,000	0,000	3,622	0,000	0,000	0,000	0,000	
benevolence  	0,000	0,000	3,983	0,000	0,000	0,000	0,000	
best friend  	0,000	0,000	0,000	0,000	7,097	0,000	0,000	
betrayal     	0,000	0,000	0,000	0,000	0,000	0,000	2,078	
big brother  	0,000	0,000	0,000	5,138	0,000	0,000	0,000	
big dream    	0,000	0,000	0,000	7,626	0,000	0,000	0,000	
bitter       	0,000	0,000	0,000	0,000	0,000	0,000	5,769	
bless        	0,000	0,000	0,000	0,000	0,000	4,064	0,000	
bliss        	0,000	0,000	0,000	0,000	0,000	2,373	0,000	
blissful     	0,000	0,000	0,000	0,000	0,000	3,701	0,000	
blood        	0,000	0,000	0,000	0,000	0,000	0,000	5,899	
bloody       	0,000	0,000	0,000	0,000	0,000	0,000	2,518	
boxing       	0,000	0,000	0,000	0,000	0,000	0,000	2,524	
boyfriend    	0,000	0,000	7,171	0,000	0,000	0,000	0,000	
brain        	6,296	0,000	0,000	0,000	0,000	0,000	0,000	
brain teaser 	4,118	0,000	0,000	0,000	0,000	0,000	0,000	
break        	0,000	0,000	0,000	0,000	0,000	0,000	2,069	
break heart  	0,000	0,000	8,758	0,000	0,000	0,000	0,000	
breathe      	0,000	2,604	0,000	0,000	0,000	0,000	0,000	
breathtaking 	1,581	0,000	0,000	0,000	0,000	0,000	0,000	
breathtaking landscape	4,118	0,000	0,000	0,000	0,000	0,000	0,000	
breathtaking scene	3,617	0,000	0,000	0,000	0,000	0,000	0,000	
bright       	0,000	0,000	0,000	0,000	0,000	2,319	0,000	
brilliant    	0,000	0,000	0,000	0,000	0,000	0,000	0,000	
brother      	0,000	0,000	0,000	0,000	6,296	0,000	0,000	
call         	0,000	0,000	0,000	0,000	1,414	0,000	0,000	
calm         	0,000	11,191	0,000	0,000	0,000	0,000	0,000	
calm relax   	0,000	4,349	0,000	0,000	0,000	0,000	0,000	
calm serene  	0,000	4,118	0,000	0,000	0,000	0,000	0,000	
calming voice	0,000	6,177	0,000	0,000	0,000	0,000	0,000	
captivate    	4,849	0,000	1,818	0,000	0,000	0,000	0,000	
captivating  	2,285	0,000	0,000	0,000	0,000	0,000	0,000	
capture      	9,120	0,000	0,000	0,000	0,000	0,000	0,000	
capture attention	10,506	0,000	0,000	0,000	0,000	0,000	0,000	
capture emotion	3,263	0,000	0,000	0,000	0,000	0,000	0,000	
capture heart	0,000	0,000	2,948	0,000	0,000	0,000	0,000	
care         	0,000	0,000	2,912	0,000	5,533	0,000	0,000	
careful      	1,710	0,000	0,000	0,000	0,000	0,000	0,000	
cartoon      	0,000	0,000	0,000	7,440	0,000	4,579	0,000	
cause pain   	0,000	0,000	0,000	0,000	0,000	0,000	6,177	
celebrate    	0,000	0,000	6,629	0,000	0,000	2,651	0,000	
celebrate life	0,000	0,000	0,000	0,000	0,000	9,718	0,000	
center       	2,342	0,000	0,000	0,000	0,000	0,000	0,000	
cerebral     	2,113	0,000	0,000	0,000	0,000	0,000	0,000	
certainty    	0,000	0,000	0,000	0,000	3,521	0,000	0,000	
challenge    	3,390	0,000	0,000	0,000	0,000	0,000	0,000	
change life  	2,740	0,000	0,000	0,000	0,000	0,000	0,000	
change perception	3,656	0,000	0,000	0,000	0,000	0,000	0,000	
charity      	0,000	0,000	0,000	0,000	0,000	2,130	0,000	
charming     	0,000	0,000	2,119	2,119	0,000	0,000	0,000	
chase dream  	0,000	0,000	0,000	3,582	0,000	0,000	0,000	
cheater      	0,000	0,000	0,000	0,000	0,000	0,000	2,814	
cheerful     	0,000	0,000	0,000	0,000	0,000	4,776	0,000	
chemistry    	0,000	0,000	9,425	0,000	0,000	0,000	0,000	
chemistry moment	0,000	0,000	6,524	6,524	0,000	0,000	0,000	
cherish      	0,000	0,000	3,999	0,000	0,000	0,000	0,000	
child        	0,000	0,000	0,000	2,429	0,000	0,000	0,000	
child imagination	0,000	0,000	0,000	3,813	0,000	0,000	0,000	
child learn  	0,000	0,000	0,000	10,052	0,000	0,000	0,000	
child thing  	0,000	0,000	0,000	6,524	0,000	0,000	0,000	
childhood    	0,000	0,000	0,000	5,845	0,000	4,782	0,000	
childhood be 	0,000	0,000	0,000	0,000	0,000	4,746	0,000	
childhood memory	0,000	0,000	0,000	3,073	0,000	0,000	0,000	
childish     	0,000	0,000	0,000	0,000	0,000	0,000	3,020	
chill        	0,000	3,386	0,000	0,000	0,000	0,000	0,000	
christmas    	0,000	0,000	0,000	2,759	0,000	0,000	0,000	
clear        	0,000	0,000	0,000	0,000	0,000	0,000	0,000	
climax       	3,573	0,000	0,000	0,000	0,000	0,000	0,000	
close attention	5,876	0,000	0,000	0,000	0,000	0,000	0,000	
close heart  	0,000	0,000	5,170	0,000	0,000	0,000	0,000	
closeness    	0,000	0,000	0,000	0,000	3,319	0,000	0,000	
cold         	0,000	0,000	0,000	0,000	0,000	0,000	1,873	
cold blood   	0,000	0,000	0,000	0,000	0,000	0,000	10,104	
color        	0,000	0,000	0,000	1,393	0,000	0,000	0,000	
come true    	0,000	0,000	2,762	0,000	0,000	0,000	0,000	
comedian     	0,000	0,000	0,000	0,000	0,000	4,139	0,000	
comedy       	0,000	3,237	0,000	1,214	1,619	1,214	0,000	
comedy movie 	0,000	0,000	0,000	0,000	0,000	4,414	0,000	
comic        	0,000	3,206	0,000	0,000	1,202	3,367	0,000	
comic act    	0,000	0,000	0,000	0,000	0,000	6,524	0,000	
comic moment 	0,000	0,000	0,000	0,000	9,752	4,876	0,000	
comic scene  	0,000	0,000	0,000	0,000	0,000	5,484	0,000	
comical      	0,000	0,000	0,000	0,000	2,639	0,000	0,000	
companion    	0,000	0,000	0,000	0,000	2,677	0,000	0,000	
company      	0,000	0,000	0,000	0,000	10,494	0,000	0,000	
compelling   	1,468	0,000	0,000	0,000	0,000	0,000	0,000	
complex      	10,066	0,000	0,000	0,000	0,000	0,000	0,000	
complex character	2,839	0,000	0,000	0,000	0,000	0,000	0,000	
complex engage	4,349	0,000	0,000	0,000	0,000	0,000	0,000	
complex engaging	3,983	0,000	0,000	0,000	0,000	0,000	0,000	
complex message	5,975	0,000	0,000	0,000	0,000	0,000	0,000	
complex plot 	9,411	0,000	0,000	0,000	0,000	0,000	0,000	
complex puzzle	6,524	0,000	0,000	0,000	0,000	0,000	0,000	
complex story	3,002	0,000	0,000	0,000	0,000	0,000	0,000	
complex storyline	5,994	0,000	0,000	0,000	0,000	0,000	0,000	
complex watch	7,207	0,000	0,000	0,000	0,000	0,000	0,000	
complex world	3,582	0,000	0,000	0,000	0,000	0,000	0,000	
complexity   	2,530	0,000	0,000	0,000	0,000	0,000	0,000	
complicate   	2,795	0,000	0,000	0,000	0,000	0,000	0,000	
comprehend   	2,230	0,000	0,000	0,000	0,000	0,000	0,000	
