FILM         	HA	LA	CO	BA	FR	GM	BM
The Tenant   	0,0381	0,0203	0,0208	0,0152	0,0569	0,0352	0,0279	
Pi           	0,0290	0,0277	0,0307	0,0307	0,0404	0,0372	0,0336	
Titanic      	0,0340	0,0279	0,1385	0,0353	0,0490	0,0442	0,0340	
The Aviator  	0,0286	0,0293	0,0429	0,0269	0,0383	0,0323	0,0291	
Collateral   	0,0412	0,0377	0,0296	0,0186	0,0403	0,0543	0,0391	
Chicago      	0,0220	0,0361	0,0380	0,0282	0,0499	0,0735	0,0305	
Hoosiers     	0,0186	0,0173	0,0526	0,0480	0,0364	0,0423	0,0290	
Mulan        	0,0242	0,0390	0,0666	0,1118	0,0502	0,0733	0,0382	
Sin City     	0,0337	0,0328	0,0437	0,0272	0,0439	0,0520	0,0468	
Tombstone    	0,0245	0,0229	0,0455	0,0229	0,0469	0,0529	0,0271	
Videodrome   	0,0201	0,0209	0,0196	0,0240	0,0326	0,0252	0,0356	
Mildred Pierce	0,0401	0,0197	0,0299	0,0176	0,0463	0,0292	0,0223	
Inside Man   	0,0640	0,0285	0,0302	0,0218	0,0337	0,0521	0,0285	
Bloody Sunday	0,0239	0,0187	0,0609	0,0133	0,0319	0,0168	0,0331	
Predator     	0,0303	0,0323	0,0320	0,0413	0,0406	0,0568	0,0397	
Garden State 	0,0269	0,0460	0,0666	0,0327	0,0670	0,0663	0,0313	
In the Bedroom	0,0358	0,0176	0,0456	0,0204	0,0459	0,0240	0,0370	
21 Grams     	0,0372	0,0363	0,0410	0,0231	0,0416	0,0278	0,0366	
Drugstore Cowboy	0,0138	0,0187	0,0189	0,0185	0,0428	0,0417	0,0215	
Far from Heaven	0,0346	0,0306	0,0401	0,0240	0,0702	0,0316	0,0300	
Angels with Dirty Faces	0,0170	0,0146	0,0259	0,0380	0,0655	0,0293	0,0202	
Elizabeth    	0,0313	0,0267	0,0514	0,0194	0,0381	0,0330	0,0344	
Dark City    	0,0437	0,0219	0,0338	0,0626	0,0411	0,0348	0,0408	
Dumbo        	0,0155	0,0290	0,0677	0,1099	0,0422	0,0506	0,0262	
Gilda        	0,0205	0,0186	0,0450	0,0190	0,0304	0,0447	0,0266	
Batman       	0,0213	0,0260	0,0372	0,0285	0,0474	0,0555	0,0437	
King Kong    	0,0357	0,0333	0,0689	0,0336	0,0466	0,0528	0,0427	
Metropolis   	0,0265	0,0276	0,0403	0,0532	0,0436	0,0305	0,0269	
Independence Day	0,0228	0,0379	0,0450	0,0589	0,0395	0,1116	0,0300	
Wall Street  	0,0217	0,0301	0,0292	0,0201	0,0502	0,0456	0,0306	
Armageddon   	0,0244	0,0471	0,0587	0,0366	0,0405	0,0960	0,0303	
The Manchurian Candidate	0,0544	0,0262	0,0273	0,0194	0,0444	0,0304	0,0395	
The Ring     	0,0368	0,0390	0,0341	0,0290	0,0453	0,0525	0,0982	
Dead Birds   	0,0168	0,0260	0,0278	0,0207	0,0253	0,0322	0,0535	
The Producers	0,0179	0,0670	0,0330	0,0297	0,0521	0,1141	0,0248	
Sky High     	0,0176	0,0510	0,0404	0,1504	0,0573	0,1373	0,0229	
Heaven Can Wait	0,0169	0,0358	0,0608	0,0339	0,0389	0,0998	0,0172	
Spider-Man   	0,0277	0,0423	0,0592	0,0423	0,0614	0,0690	0,0383	
The Patriot  	0,0280	0,0368	0,0485	0,0381	0,0366	0,0514	0,0869	
Private Benjamin	0,0106	0,0580	0,0327	0,0293	0,0354	0,1106	0,0338	
The Little Mermaid	0,0166	0,0303	0,1022	0,1403	0,0448	0,0642	0,0231	
Gentlemen Prefer Blondes	0,0186	0,0374	0,0390	0,0293	0,2256	0,0848	0,0207	
Escape to Witch Mountain	0,0090	0,0149	0,0457	0,0960	0,0194	0,0708	0,0117	
The Mummy    	0,0119	0,0382	0,0305	0,0198	0,0455	0,0673	0,0203	
Tomcats      	0,0084	0,0472	0,0524	0,0432	0,0471	0,0667	0,0220	
Underworld   	0,0446	0,0297	0,0561	0,0261	0,0393	0,0644	0,0425	
Cheaper by the Dozen	0,0148	0,0755	0,0470	0,1768	0,0480	0,1428	0,0264	
Impromptu    	0,0188	0,0399	0,0664	0,0228	0,0375	0,0809	0,0200	
Thirteen     	0,0301	0,0257	0,0547	0,0370	0,0683	0,0346	0,0519	
Hardcore     	0,0271	0,0248	0,0347	0,0289	0,0218	0,0487	0,0200	
Home on the Range	0,0129	0,0376	0,0543	0,1338	0,0291	0,0769	0,0169	
Big Daddy    	0,0287	0,0668	0,0614	0,0602	0,0524	0,1304	0,0214	
Sylvia       	0,0190	0,0208	0,0264	0,0170	0,0567	0,0217	0,0242	
Rush Hour    	0,0186	0,0754	0,0362	0,0554	0,0527	0,1290	0,0326	
Man on Fire  	0,0345	0,0262	0,0616	0,0241	0,0519	0,0380	0,0492	
War of the Worlds	0,0330	0,0280	0,0351	0,0498	0,0444	0,0497	0,0533	
Cabin Fever  	0,0291	0,0513	0,0257	0,0308	0,0463	0,1045	0,0601	
The One      	0,0330	0,0196	0,0285	0,0279	0,0426	0,0424	0,0801	
Dirty Work   	0,0107	0,0517	0,0249	0,0420	0,0794	0,1121	0,0178	
Jersey Girl  	0,0210	0,0442	0,0681	0,0605	0,0431	0,0841	0,0217	
Walking Tall 	0,0254	0,0360	0,0332	0,0240	0,0665	0,0728	0,0386	
Moulin Rouge 	0,0138	0,0130	0,0381	0,0158	0,0328	0,0168	0,0183	
Fantasia 2000	0,0196	0,0356	0,0363	0,0595	0,0372	0,0448	0,0350	
Tuck Everlasting	0,0207	0,0256	0,0955	0,0714	0,0400	0,0426	0,0229	
Oliver Twist 	0,0731	0,0150	0,0310	0,0183	0,0283	0,0345	0,0308	
The Shaggy Dog	0,0107	0,0788	0,0206	0,1316	0,0365	0,1344	0,0197	
Wolf         	0,0295	0,0377	0,0526	0,0191	0,0213	0,0428	0,0252	
